terrain,url
Snow City 1, https://steamusercontent-a.akamaihd.net/ugc/1043093746446003935/7D5DE85C43BB1A9BAA5822D0D7F3910DF9400799/
City 8, https://steamusercontent-a.akamaihd.net/ugc/12624046404907267997/73874096A20FFDF5A6EC9DC400A9863D88F818F3/
Snow City 2, https://steamusercontent-a.akamaihd.net/ugc/13075875539072127810/A106CFB44A2B064173E39ED207DD1D675374E25B/ 
